id,articleType
15970,Shirts
39386,Jeans
21379,Track Pants
53759,Tshirts
1855,Tshirts
30805,Shirts
26960,Shirts
9204,Casual Shoes
12369,Shirts
42419,Tops
13089,Sweatshirts
9036,Formal Shoes
7990,Tshirts
37812,Shirts
4729,Tshirts
56825,Shirts
39988,Casual Shoes
3954,Tshirts
3168,Sports Shoes
18005,Shorts
9452,Shirts
10268,Formal Shoes
59435,Formal Shoes
5891,Tshirts
38630,Tshirts
4943,Shirts
10866,Tshirts
15528,Tshirts
22198,Casual Shoes
29570,Casual Shoes
6628,Sports Shoes
54924,Shorts
26538,Casual Shoes
49495,Casual Shoes
9660,Shirts
2288,Tshirts
23876,Sweatshirts
18237,Tshirts
49653,Tops
13419,Tshirts
33822,Sports Shoes
58513,Tops
5865,Tshirts
39716,Dresses
29584,Tshirts
28456,Skirts
34009,Tops
19311,Casual Shoes
42089,Sports Shoes
49461,Casual Shoes
9694,Tshirts
23882,Sports Shoes
34835,Sports Shoes
15984,Shirts
59297,Shirts
26994,Jeans
8322,Tshirts
12993,Sports Shoes
7158,Shirts
19547,Sweatshirts
7964,Tshirts
16392,Shirts
17240,Tshirts
6617,Shirts
3365,Tshirts
42042,Sports Shoes
23849,Casual Shoes
10065,Tshirts
24250,Casual Shoes
5092,Tshirts
10859,Tshirts
15517,Casual Shoes
4140,Casual Shoes
24062,Tshirts
11385,Sweatshirts
22395,Shirts
6425,Casual Shoes
23247,Formal Shoes
31782,Tops
42270,Casual Shoes
12500,Shirts
30650,Tshirts
40143,Tops
10633,Formal Shoes
21174,Tops
15341,Shorts
14293,Tshirts
6041,Tshirts
23623,Tops
17416,Sports Shoes
9835,Tshirts
7193,Jeans
12958,Sports Shoes
3533,Tshirts
17624,Track Pants
46086,Sports Shoes
13284,Shorts
54543,Sports Shoes
3701,Tshirts
32751,Casual Shoes
10401,Tops
40371,Jeans
45603,Formal Shoes
4524,Sports Shoes
37223,Tops
53766,Tshirts
25520,Tops
32597,Tops
57100,Tops
36137,Sports Shoes
39943,Casual Shoes
8913,Sports Shoes
16530,Shirts
22705,Casual Shoes
7167,Shirts
6889,Jackets
12190,Shirts
19578,Tops
27879,Tops
6287,Tshirts
7355,Tshirts
43500,Tshirts
13270,Tops
31120,Tops
11527,Tshirts
40385,Tops
15187,Tshirts
5402,Sports Shoes
14055,Shirts
20260,Tshirts
28469,Tshirts
34036,Shirts
8779,Shirts
2243,Tshirts
33213,Tops
39729,Tops
11143,Shirts
4988,Dresses
44341,Tshirts
11371,Shirts
41401,Tops
4386,Tshirts
16154,Formal Shoes
29789,Tshirts
7503,Tshirts
34204,Track Pants
50741,Casual Shoes
13426,Tshirts
43356,Sports Shoes
13846,Shirts
12994,Sports Shoes
16508,Jeans
